fltno,dest,source,freq,route
6E  327,MAA,COK,7,MAA-COK
6E  328,BLR,HYD,7,BLR-HYD
6E  329,BLR,CCU,7,BLR-CCU
6E  331,CCU,DMU,7,CCU-DMU
6E  332,BLR,BBI,7,BLR-BBI
6E  334,BBI,BLR,1,BBI-BLR
6E  336,GOI,DEL,7,GOI-DEL
6E  342,BBI,HYD,7,BBI-HYD
6E  343,TRV,MAA,7,TRV-MAA
6E  344,BLR,CCU,7,BLR-CCU
6E  345,BLR,GOI,6,BLR-GOI
6E  346,BLR,CJB,6,BLR-CJB
6E  347,CJB,BLR,6,CJB-BLR
6E  348,HYD,GOI,7,HYD-GOI
6E  349,GAU,CCU,7,GAU-CCU
6E  351,AMD,PNQ,7,AMD-PNQ
6E  352,HYD,AMD,7,HYD-AMD
6E  353,HYD,CCU,7,HYD-CCU
6E  354,BLR,CJB,6,BLR-CJB
6E  355,CJB,BLR,6,CJB-BLR
6E  356,BLR,MAA,7,BLR-MAA
6E  357,HYD,BLR,7,HYD-BLR
6E  358,GOI,HYD,7,GOI-HYD
6E  359,DEL,COK,7,DEL-COK
6E  361,BLR,BOM,7,BLR-BOM
6E  362,IXA,CCU,7,IXA-CCU
6E  363,BLR,COK,6,BLR-COK
6E  364,HYD,LKO,7,HYD-LKO
6E  365,LKO,HYD,7,LKO-HYD
6E  366,HYD,IXZ,1,HYD-IXZ
6E  367,DEL,GOI,7,DEL-GOI
6E  368,BLR,IDR,6,BLR-IDR
6E  369,BLR,HYD,6,BLR-HYD
6E  371,AMD,HYD,7,AMD-HYD
6E  372,CCU,IXC,7,CCU-IXC
6E  373,BLR,COK,6,BLR-COK
6E  374,CCU,IXA,7,CCU-IXA
6E  375,BBI,BOM,7,BBI-BOM
6E  376,IXC,CCU,7,IXC-CCU
6E  377,DEL,CCU,7,DEL-CCU
6E  378,BLR,RPR,6,BLR-RPR
6E  379,BLR,TRV,7,BLR-TRV
6E  381,MAA,CJB,1,MAA-CJB
6E  382,HYD,TIR,7,HYD-TIR
6E  383,AMD,HYD,7,AMD-HYD
6E  384,MAA,HYD,7,MAA-HYD
6E  385,IXA,IMF,7,IXA-IMF
6E  386,IXA,BLR,7,IXA-BLR
6E  387,MAA,BOM,7,MAA-BOM
6E  388,BLR,LKO,6,BLR-LKO
6E  389,IXC,GOI,6,IXC-GOI
6E  391,GOI,IXC,7,GOI-IXC
6E  392,HYD,CCU,7,HYD-CCU
6E  393,IDR,BLR,6,IDR-BLR
6E  394,GAU,CCU,7,GAU-CCU
6E  395,BOM,CCU,7,BOM-CCU
6E  396,CJB,DEL,7,CJB-DEL
6E  397,GOI,LKO,4,GOI-LKO
6E  398,IXR,DEL,7,IXR-DEL
6E  399,DEL,GOI,7,DEL-GOI
6E  401,BLR,IDR,7,BLR-IDR
6E  402,PNQ,DEL,7,PNQ-DEL
6E  403,BOM,NAG,7,BOM-NAG
6E  404,CCU,NAG,7,CCU-NAG
6E  405,BLR,BOM,7,BLR-BOM
6E  406,BOM,BLR,7,BOM-BLR
6E  407,BLR,IXE,5,BLR-IXE
6E  408,BLR,PNQ,7,BLR-PNQ
6E  409,BLR,VTZ,6,BLR-VTZ
6E  411,BLR,BBI,1,BLR-BBI
6E  412,GOI,MAA,7,GOI-MAA
6E  413,BLR,IXE,7,BLR-IXE
6E  414,BLR,BOM,1,BLR-BOM
6E  415,BLR,JAI,6,BLR-JAI
6E  416,MAA,HYD,7,MAA-HYD
6E  417,DMU,CCU,7,DMU-CCU
6E  418,BLR,CJB,6,BLR-CJB
6E  419,BLR,COK,6,BLR-COK
6E  421,DEL,IXR,7,DEL-IXR
6E  422,BLR,IXB,3,BLR-IXB
6E  423,IXB,BLR,3,IXB-BLR
6E  424,BLR,BOM,7,BLR-BOM
6E  425,BLR,IXE,7,BLR-IXE
6E  426,BLR,PNQ,7,BLR-PNQ
6E  427,BLR,BBI,7,BLR-BBI
6E  428,HYD,BOM,7,HYD-BOM
6E  429,CCU,BOM,7,CCU-BOM
6E  43,TRZ,SIN,7,TRZ-SIN
6E  431,BBI,BLR,7,BBI-BLR
6E  432,DEL,AMD,7,DEL-AMD
6E  433,IXB,GAU,7,IXB-GAU
6E  434,CCU,BLR,6,CCU-BLR
6E  435,BLR,CCU,6,BLR-CCU
6E  436,AMD,BLR,1,AMD-BLR
6E  437,GOI,NAG,7,GOI-NAG
6E  438,BOM,VNS,3,BOM-VNS
6E  439,BOM,DEL,7,BOM-DEL
6E  442,CCU,IXA,7,CCU-IXA
6E  443,IXA,CCU,6,IXA-CCU
6E  444,HYD,BDQ,7,HYD-BDQ
6E  445,IXB,BLR,1,IXB-BLR
6E  446,DIB,CCU,7,DIB-CCU
6E  447,JAI,CCU,4,JAI-CCU
6E  448,ATQ,BOM,7,ATQ-BOM
6E  449,IXB,CCU,3,IXB-CCU
6E  451,BLR,LKO,1,BLR-LKO
6E  452,AMD,DEL,7,AMD-DEL
6E  453,CJB,BOM,7,CJB-BOM
6E  454,MAA,AMD,7,MAA-AMD
6E  455,DED,DEL,7,DED-DEL
6E  456,BLR,BOM,7,BLR-BOM
6E  457,BLR,GAU,7,BLR-GAU
6E  458,BBI,CCU,4,BBI-CCU
6E  459,AJL,GAU,2,AJL-GAU
6E  461,MAA,IXM,7,MAA-IXM
6E  462,IXM,MAA,7,IXM-MAA
6E  463,BLR,COK,7,BLR-COK
6E  464,BOM,RPR,7,BOM-RPR
6E  465,RPR,BOM,7,RPR-BOM
6E  466,BLR,HYD,1,BLR-HYD
6E  467,HYD,JAI,7,HYD-JAI
6E  468,GOI,BOM,7,GOI-BOM
6E  469,BLR,JAI,6,BLR-JAI
6E  471,JAI,HYD,7,JAI-HYD
6E  472,NAG,BOM,7,NAG-BOM
6E  473,BLR,PAT,4,BLR-PAT
6E  474,CCU,DEL,7,CCU-DEL
6E  475,TRV,MAA,7,TRV-MAA
6E  476,CCU,DEL,3,CCU-DEL
6E  477,ATQ,SXR,6,ATQ-SXR
6E  478,ATQ,BLR,7,ATQ-BLR
6E  479,BLR,CCU,6,BLR-CCU
6E  481,BLR,JAI,7,BLR-JAI
6E  482,JAI,BLR,7,JAI-BLR
6E  483,TRV,BLR,6,TRV-BLR
6E  484,CCU,AJL,7,CCU-AJL
6E  485,BLR,PAT,7,BLR-PAT
6E  486,AMD,BOM,6,AMD-BOM
6E  487,GOI,HYD,6,GOI-HYD
6E  488,IXA,CCU,7,IXA-CCU
6E  489,BLR,CCU,7,BLR-CCU
6E  491,IXC,BLR,1,IXC-BLR
6E  492,BBI,BLR,6,BBI-BLR
6E  493,DEL,DED,7,DEL-DED
6E  494,DEL,PAT,3,DEL-PAT
6E  495,MAA,BOM,6,MAA-BOM
6E  496,HYD,PNQ,6,HYD-PNQ
6E  497,STV,HYD,7,STV-HYD
6E  498,JAI,BLR,6,JAI-BLR
6E  499,DEL,PAT,7,DEL-PAT
6E  5001,DEL,MAA,7,DEL-MAA
6E  5002,MAA,DEL,7,MAA-DEL
6E  5003,DEL,LKO,7,DEL-LKO
6E  5004,LKO,DEL,7,LKO-DEL
6E  5005,MAA,DEL,7,MAA-DEL
6E  5006,DEL,MAA,7,DEL-MAA
6E  5007,MAA,DEL,7,MAA-DEL
6E  5008,DEL,MAA,7,DEL-MAA
6E  5009,BLR,DEL,6,BLR-DEL
6E  501,PAT,DEL,7,PAT-DEL
6E  5011,DEL,BLR,6,DEL-BLR
6E  5012,HYD,DEL,7,HYD-DEL
6E  5013,DEL,HYD,7,DEL-HYD
6E  5014,DEL,IXA,7,DEL-IXA
6E  5015,IXA,DEL,7,IXA-DEL
6E  5016,DEL,ATQ,7,DEL-ATQ
6E  5017,ATQ,DEL,7,ATQ-DEL
6E  5019,BBI,DEL,7,BBI-DEL
6E  502,AJL,CCU,7,AJL-CCU
6E  5021,DEL,BLR,7,DEL-BLR
6E  5022,BLR,DEL,1,BLR-DEL
6E  5023,DEL,IXB,7,DEL-IXB
6E  5024,IXB,DEL,7,IXB-DEL
6E  5026,ATQ,DEL,7,ATQ-DEL
6E  5028,DEL,STV,7,DEL-STV
6E  5029,GOI,STV,7,GOI-STV
6E  503,BLR,RPR,4,BLR-RPR
6E  5031,DEL,BLR,7,DEL-BLR
6E  5032,BLR,DEL,7,BLR-DEL
6E  5033,DEL,IXB,7,DEL-IXB
6E  5034,DEL,STV,1,DEL-STV
6E  5035,BLR,STV,1,BLR-STV
6E  5036,STV,BLR,6,STV-BLR
6E  5037,BBI,DEL,7,BBI-DEL
6E  5038,DEL,IDR,7,DEL-IDR
6E  5039,IDR,DEL,7,IDR-DEL
6E  504,DEL,NAG,7,DEL-NAG
6E  5041,DEL,UDR,7,DEL-UDR
