id,origin,destination,departure,arrival,AircraftCode,Aircraft
6E 825,BOM,PAT,18:50 IST,21:20 IST,32N,Airbus A320neo
6E 949,HYD,BLR,00:20 IST,01:30 IST,32Q,Airbus A321neo
6E 5321,BOM,HSR,10:40 IST,11:50 IST,32A,Airbus A320 (sharklets)
6E 5354,BOM,CCU,14:50 IST,17:30 IST,32Q,Airbus A321neo
6E 5307,BOM,GOI,11:25 IST,12:35 IST,32Q,Airbus A321neo
6E 5358,DEL,TRV,20:25 IST,23:45 IST,32N,Airbus A320neo
6E 5319,BOM,IDR,16:50 IST,18:05 IST,321,Airbus A321
6E 6223,HYD,PAT,15:50 IST,17:55 IST,320,Airbus A320
6E 841,BOM,IXE,15:10 IST,16:40 IST,32N,Airbus A320neo
6E 2174,BLR,DEL,15:15 IST,18:00 IST,32Q,Airbus A321neo
6E 6374,MAA,AMD,13:20 IST,15:30 IST,32Q,Airbus A321neo
6E 5345,HYD,DEL,21:25 IST,23:50 IST,32Q,Airbus A321neo
6E 5351,BLR,BOM,15:15 IST,17:10 IST,320,Airbus A320
6E 5375,DEL,MAA,21:30 IST,00:20 IST,32Q,Airbus A321neo
6E 821,ATQ,BOM,21:05 IST,23:20 IST,32N,Airbus A320neo
6E 834,MAA,HYD,09:20 IST,10:40 IST,32Q,Airbus A321neo
6E 5361,SXR,DEL,10:40 IST,12:05 IST,32Q,Airbus A321neo
6E 5384,HYD,BOM,12:15 IST,13:40 IST,32Q,Airbus A321neo
6E 5367,MAA,BOM,18:20 IST,20:10 IST,32Q,Airbus A321neo
6E 6328,DEL,BOM,10:00 IST,12:15 IST,32Q,Airbus A321neo
6E 225,BOM,IDR,21:45 IST,23:10 IST,32N,Airbus A320neo
6E 5305,BOM,IXB,08:05 IST,10:50 IST,32N,Airbus A320neo
6E 5382,BOM,BLR,13:45 IST,15:35 IST,32Q,Airbus A321neo
6E 5396,DEL,KNU,12:45 IST,14:05 IST,32N,Airbus A320neo
6E 5153,SXR,DEL,09:45 IST,11:15 IST,32Q,Airbus A321neo
6E 5313,BOM,MAA,10:15 IST,12:00 IST,32Q,Airbus A321neo
6E 6749,CCU,HGI,12:25 IST,14:00 IST,32A,Airbus A320 (sharklets)
6E 5388,BOM,BLR,21:45 IST,23:30 IST,32Q,Airbus A321neo
6E 5393,BOM,HYD,22:45 IST,00:10 IST,32Q,Airbus A321neo
6E 801,RPR,CCU,18:30 IST,19:50 IST,32N,Airbus A320neo
6E 764,CJB,HYD,19:55 IST,21:25 IST,32N,Airbus A320neo
6E 909,NAG,BLR,07:25 IST,09:05 IST,32Q,Airbus A321neo
6E 2018,DEL,DED,08:55 IST,09:40 IST,32N,Airbus A320neo
6E 664,HYD,CCU,08:20 IST,10:30 IST,32Q,Airbus A321neo
6E 5389,BHO,DEL,20:15 IST,21:35 IST,32N,Airbus A320neo
6E 5394,MAA,COK,07:55 IST,09:10 IST,32N,Airbus A320neo
6E 297,HYD,JDH,14:30 IST,16:25 IST,32Q,Airbus A321neo
6E 472,COK,BLR,21:45 IST,23:00 IST,32Q,Airbus A321neo
6E 6404,BLR,HYD,12:10 IST,13:15 IST,320,Airbus A320
6E 687,BLR,UDR,07:05 IST,09:15 IST,32N,Airbus A320neo
6E 501,HYD,VNS,19:40 IST,21:45 IST,32Q,Airbus A321neo
6E 6529,BOM,MAA,07:05 IST,09:00 IST,32Q,Airbus A321neo
6E 6107,DEL,BOM,09:00 IST,11:05 IST,32Q,Airbus A321neo
6E 673,BOM,COK,15:05 IST,17:00 IST,321,Airbus A321
6E 681,IXC,PNQ,22:05 IST,00:20 IST,320,Airbus A320
6E 819,PNQ,AMD,04:40 IST,05:55 IST,32N,Airbus A320neo
6E 6877,PNQ,BLR,04:35 IST,06:05 IST,32Q,Airbus A321neo
6E 672,PNQ,VNS,23:35 IST,01:40 IST,32A,Airbus A320 (sharklets)
6E 863,AMD,BLR,16:35 IST,18:45 IST,32Q,Airbus A321neo
6E 553,COK,HYD,07:30 IST,08:55 IST,32N,Airbus A320neo
6E 2409,CJB,DEL,21:15 IST,00:20 IST,32Q,Airbus A321neo
6E 511,IDR,HYD,12:15 IST,13:35 IST,32Q,Airbus A321neo
6E 7248,HYD,RPR,18:25 IST,20:15 IST,AT7,ATR 72
6E 7308,JLR,HYD,07:55 IST,09:55 IST,AT7,ATR 72
6E 802,BOM,IXL,07:20 IST,10:20 IST,32N,Airbus A320neo
6E 804,BOM,NAG,19:45 IST,21:15 IST,32Q,Airbus A321neo
6E 465,BLR,STV,13:15 IST,14:55 IST,32Q,Airbus A321neo
6E 7932,AGR,LKO,14:00 IST,15:15 IST,AT7,ATR 72
6E 7154,JAI,IDR,07:45 IST,09:10 IST,AT7,ATR 72
6E 7126,HYD,MYQ,10:50 IST,12:40 IST,AT7,ATR 72
6E 718,BBI,HYD,08:40 IST,10:15 IST,32N,Airbus A320neo
6E 7269,VGA,CDP,15:00 IST,16:05 IST,AT7,ATR 72
